produto_id,nome_produto,categoria,preco
1,Smartphone Samsung Galaxy A14,Eletrodomésticos,2237.57
2,Notebook Lenovo Ideapad 3,Telefonia,461.64
3,TV LG 50 Polegadas 4K,Livros,2234.97
4,Ar-condicionado Split Springer Midea,Eletrodomésticos,1791.95
5,Fogão 4 bocas Brastemp,Eletrodomésticos,326.4
6,Cafeteira Nespresso Essenza Mini,Moda,1825.96
7,Geladeira Electrolux Duplex,Telefonia,2162.26
8,Micro-ondas Panasonic 30L,Móveis,700.3
9,Lavadora Brastemp 11kg,Informática,2437.82
10,Batedeira Mondial Premium,Telefonia,2109.51
11,Tablet Samsung Galaxy Tab A7,Informática,508.66
12,Impressora Epson EcoTank L3250,Eletrodomésticos,323.6
13,Cadeira Gamer Mymax,Informática,2550.11
14,Escrivaninha Madesa 2 Gavetas,Informática,2431.03
15,Mesa de Jantar 4 Lugares,Moda,418.24
16,Sofá Retrátil 3 Lugares,Eletrodomésticos,1678.52
17,Tênis Nike Revolution 6,Informática,1753.19
18,Relógio Smartwatch Xiaomi,Eletrodomésticos,2000.73
19,Liquidificador Arno Power Max,Eletrodomésticos,2573.19
20,Ferro de Passar Philips Walita,Móveis,870.02
21,Secador de Cabelo Taiff,Telefonia,1142.03
22,Ventilador de Mesa Mondial,Livros,837.58
23,Aspirador de Pó Electrolux,Moda,1923.19
24,Celular Motorola Moto G73,Livros,772.19
25,Soundbar JBL 2.1,Móveis,846.35
26,Alexa Echo Dot 4ª Geração,Telefonia,2069.61
27,Monitor LG 24 Polegadas,Telefonia,2474.32
28,Placa de Vídeo RTX 3060,Móveis,839.84
29,Roteador TP-Link Archer C6,Moda,2635.28
30,HD Externo Seagate 1TB,Telefonia,1983.54
